地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2016/04/19,17:52:13.6,熊本県熊本地方,32°32.1′N,130°38.1′E,10 km,5.5,震度５強
2016/04/19,06:20:01.1,熊本県阿蘇地方,33°00.8′N,131°11.0′E,7 km,4.1,震度４
2016/04/19,01:53:39.5,熊本県熊本地方,32°42.5′N,130°42.2′E,15 km,3.8,震度４
2016/04/18,21:18:25.6,熊本県熊本地方,32°40.8′N,130°42.7′E,11 km,3.9,震度４
2016/04/18,20:41:57.9,熊本県阿蘇地方,33°00.1′N,131°11.9′E,9 km,5.8,震度５強
2016/04/18,08:35:43.0,熊本県熊本地方,32°52.1′N,130°52.4′E,10 km,4.2,震度４
2016/04/18,05:39:49.8,熊本県熊本地方,32°37.7′N,130°45.1′E,3 km,3.1,震度４
2016/04/18,04:44:27.4,熊本県熊本地方,32°41.0′N,130°42.3′E,11 km,3.7,震度４
2016/04/17,22:56:34.7,熊本県熊本地方,32°38.7′N,130°43.1′E,7 km,3.8,震度４
2016/04/17,19:23:41.2,熊本県熊本地方,32°40.6′N,130°43.2′E,11 km,4.4,震度４
2016/04/17,13:13:58.0,熊本県阿蘇地方,32°58.3′N,131°05.9′E,6 km,4.4,震度４
2016/04/17,11:51:35.1,熊本県熊本地方,32°38.0′N,130°43.7′E,5 km,3.4,震度４
2016/04/17,09:58:48.0,熊本県熊本地方,32°40.7′N,130°46.2′E,10 km,3.8,震度４
2016/04/17,09:40:36.5,熊本県熊本地方,32°36.4′N,130°43.1′E,4 km,3.9,震度４
2016/04/17,04:46:49.0,熊本県熊本地方,32°41.2′N,130°46.5′E,10 km,4.5,震度４
2016/04/17,03:30:20.4,熊本県阿蘇地方,33°01.1′N,131°10.9′E,7 km,4.0,震度４
2016/04/17,00:59:25.8,熊本県阿蘇地方,33°00.7′N,131°12.1′E,9 km,3.9,震度４
2016/04/17,00:23:27.7,熊本県熊本地方,32°38.7′N,130°43.0′E,4 km,3.2,震度４
2016/04/17,00:14:51.6,熊本県阿蘇地方,32°57.7′N,131°04.7′E,9 km,4.8,震度４
2016/04/16,23:54:28.9,熊本県阿蘇地方,33°02.3′N,131°11.9′E,8 km,4.2,震度４
2016/04/16,22:05:58.7,熊本県熊本地方,32°52.2′N,130°49.7′E,15 km,3.7,震度４
2016/04/16,21:05:06.2,熊本県熊本地方,32°45.1′N,130°45.3′E,18 km,4.4,震度４
2016/04/16,18:25:10.7,熊本県熊本地方,32°39.1′N,130°43.3′E,10 km,4.0,震度４
2016/04/16,17:40:20.1,熊本県熊本地方,32°42.0′N,130°42.2′E,12 km,4.2,震度４
2016/04/16,17:17:49.3,熊本県熊本地方,32°51.3′N,130°51.6′E,11 km,3.5,震度４
2016/04/16,16:02:01.0,熊本県熊本地方,32°41.9′N,130°43.2′E,12 km,5.4,震度５弱
2016/04/16,14:27:04.0,熊本県熊本地方,32°39.0′N,130°44.5′E,8 km,4.6,震度４
2016/04/16,14:03:56.9,熊本県阿蘇地方,33°00.4′N,131°13.1′E,9 km,4.6,震度４
2016/04/16,13:17:11.8,熊本県熊本地方,32°48.2′N,130°44.1′E,9 km,3.6,震度４
2016/04/16,11:02:51.7,熊本県熊本地方,32°45.5′N,130°46.6′E,15 km,4.4,震度４
2016/04/16,10:38:53.1,熊本県熊本地方,32°38.9′N,130°43.9′E,10 km,4.5,震度４
2016/04/16,09:58:10.8,熊本県熊本地方,32°38.0′N,130°43.0′E,6 km,3.5,震度４
2016/04/16,09:50:06.2,熊本県熊本地方,32°51.1′N,130°49.7′E,15 km,4.5,震度５弱
2016/04/16,09:48:32.6,熊本県熊本地方,32°50.8′N,130°50.1′E,16 km,5.4,震度６弱
2016/04/16,09:18:25.5,熊本県阿蘇地方,32°59.7′N,131°06.6′E,9 km,3.9,震度４
2016/04/16,09:16:28.3,熊本県熊本地方,32°32.7′N,130°39.1′E,7 km,4.5,震度４
2016/04/16,08:27:00.0,大分県中部,33°16.9′N,131°23.4′E,7 km,3.7,震度４
2016/04/16,08:20:41.5,熊本県熊本地方,32°42.0′N,130°40.7′E,12 km,4.6,震度４
2016/04/16,08:08:50.6,熊本県熊本地方,32°51.3′N,130°51.0′E,11 km,3.9,震度４
2016/04/16,08:02:48.3,熊本県熊本地方,32°39.8′N,130°43.2′E,10 km,3.8,震度４
2016/04/16,07:57:21.3,熊本県熊本地方,32°37.8′N,130°44.1′E,5 km,3.9,震度４
2016/04/16,07:42:33.2,熊本県熊本地方,32°46.5′N,130°44.5′E,11 km,4.2,震度４
2016/04/16,07:23:54.3,熊本県熊本地方,32°47.2′N,130°46.4′E,12 km,4.8,震度５弱
2016/04/16,07:11:37.4,大分県中部,33°16.2′N,131°23.7′E,6 km,5.4,震度５弱
